run_id,condition_order,condition_id,condition_label,ability_group,switch_cost_condition,rho,switch_cost_s,rng_seed,learning_time,reward_rate,specialization_signed_x,specialization_abs_x,switching_parameter_a,agent1_pi_C,agent1_pi_W,agent2_pi_C,agent2_pi_W,agent1_rate_C,agent1_rate_W,agent2_rate_C,agent2_rate_W,agent1_mean_action_time,agent2_mean_action_time,model_specialization_index_rate,model_specialization_index_decision_fraction,specialization_index_walks_rate,specialization_index_walks_decision_fraction
5236,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8393234051100876,0.4554101134150193,0.4554101134150193,2.472282207430005,0.4818094402656618,0.5181905597343381,0.5181905597343381,0.4818094402656619,0.4260940338744787,0.4582681190122256,0.4582681190122256,0.4260940338744787,1.1307584757396445,1.1307584757396445,0.0363811194686351,0.0363811194686398,0.0363811194686351,0.0363811194686398
5237,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8397272011317667,0.5491148040216348,0.5491148040216348,2.563401086770856,0.4795843421619733,0.5204156578380266,0.5204156578380266,0.4795843421619734,0.4242051163199981,0.4603215018920876,0.4603215018920875,0.4242051163199981,1.1305482270520284,1.1305482270520286,0.040831315676007,0.0408313156760123,0.040831315676007,0.0408313156760123
5238,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8382567012547308,0.3058819123254517,0.3058819123254517,2.6195068750386654,0.489487273548611,0.510512726451389,0.510512726451389,0.489487273548611,0.432089870835108,0.4506498737605136,0.4506498737605136,0.432089870835108,1.1328367235329306,1.1328367235329306,0.0210254529027542,0.0210254529027569,0.0210254529027542,0.0210254529027569
5239,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8380801248757327,0.2938610007424039,0.2938610007424039,2.7647276979207738,0.4911897080269996,0.5088102919730003,0.5088102919730003,0.4911897080269997,0.43330202467941,0.4488459877858518,0.4488459877858516,0.43330202467941,1.133596614025562,1.1335966140255622,0.0176205839459806,0.017620583945983,0.0176205839459806,0.017620583945983
5240,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8394078613460725,0.4457977755922657,0.4457977755922657,2.3904306392800567,0.4808343962485166,0.5191656037514835,0.5191656037514835,0.4808343962485166,0.425414439394828,0.4593276728873286,0.4593276728873286,0.425414439394828,1.1302728626995502,1.1302728626995502,0.0383312075029235,0.0383312075029285,0.0383312075029235,0.0383312075029285
5241,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8389618550298832,0.4109339109187169,0.4109339109187169,2.523951601093514,0.4844214438828621,0.5155785561171378,0.5155785561171378,0.4844214438828622,0.4281292553312343,0.4556657556814494,0.4556657556814494,0.4281292553312344,1.1314840970353115,1.1314840970353115,0.0311571122342403,0.0311571122342444,0.0311571122342403,0.0311571122342444
5242,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8404391236597488,0.6439921712538905,0.6439921712538905,2.522679588423392,0.4747949396619248,0.5252050603380751,0.5252050603380751,0.4747949396619248,0.4204155371270893,0.465052065847879,0.465052065847879,0.4204155371270893,1.129346795569063,1.129346795569063,0.0504101206760933,0.0504101206760998,0.0504101206760933,0.0504101206760998
5243,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8384616693445888,0.3608845413790492,0.3608845413790492,2.69948055668558,0.4884310130172816,0.5115689869827184,0.5115689869827184,0.4884310130172815,0.4311524139816255,0.4515769838061652,0.4515769838061652,0.4311524139816255,1.1328500019440852,1.1328500019440852,0.0231379739654106,0.0231379739654136,0.0231379739654106,0.0231379739654136
5244,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8390892253114691,0.4750349568151256,0.4750349568151256,2.6725450751579687,0.4841870199830555,0.5158129800169445,0.5158129800169445,0.4841870199830554,0.4277764546674319,0.4557178089384002,0.4557178089384002,0.4277764546674319,1.131869261854253,1.131869261854253,0.0316259600338532,0.0316259600338574,0.0316259600338532,0.0316259600338574
5245,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8383561331692369,0.3913598090340406,0.3913598090340406,2.924418430967939,0.4898119950711887,0.5101880049288112,0.5101880049288112,0.4898119950711888,0.4320462796930939,0.4500192557381092,0.4500192557381092,0.4320462796930939,1.1337026103294512,1.1337026103294512,0.0203760098575994,0.020376009857602,0.0203760098575994,0.020376009857602
5246,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8376132513624379,0.1925860166774192,0.1925860166774192,2.7847543778434085,0.4943716236784988,0.5056283763215011,0.5056283763215011,0.4943716236784988,0.4358448581806839,0.4457689669366813,0.4457689669366813,0.4358448581806839,1.1342834827560406,1.1342834827560406,0.0112567526429895,0.011256752642991,0.0112567526429895,0.011256752642991
5247,2,rho085_low_s,"rho<1, low s",mixed ability,low,0.85,0.05,311001,170,0.8412995985135847,0.7884814497500794,0.7884814497500794,2.560702955203335,0.4694245181666429,0.5305754818333571,0.5305754818333571,0.4694245181666429,0.4160865142469401,0.4702892461670736,0.4702892461670736,0.4160865142469401,1.1281896963573486,1.1281896963573486,0.0611509636666452,0.061150963666653,0.0611509636666452,0.061150963666653
