run_id,condition_order,condition_id,condition_label,ability_group,switch_cost_condition,rho,switch_cost_s,rng_seed,learning_time,reward_rate,specialization_signed_x,specialization_abs_x,switching_parameter_a
5267,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.9156539910934774,2.177720508401383,2.177720508401383,-0.5507812381524856
5268,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7519355581609392,0.9782984469192186,0.9782984469192186,0.1709268522135056
5269,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7425113418669556,0.5993996855679735,0.5993996855679735,-0.1286533855417789
5270,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.7198312145341556,0.4625695884548996,0.4625695884548996,0.1769416335557248
5271,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.780408365598906,1.346219450417332,1.346219450417332,0.21594226907788333
5272,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.6936679744698222,-0.22203723497022954,0.22203723497022954,0.5912915538854966
5273,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.8244550393301376,1.555975346272629,1.555975346272629,-0.0711028933553675
5274,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.703027546736636,-0.02849440601317091,0.02849440601317091,0.3384706238477202
5275,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.8274847033360845,1.3977533007018643,1.3977533007018643,-0.31334738732797945
5276,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.8054916585868674,1.281685842696269,1.281685842696269,-0.18152515309835882
5277,3,rho1_high_s,"rho=1, high s",high ability,high,1.0,0.5,311002,170,0.8098231470959057,1.214515356989309,1.214515356989309,-0.33329929295673966
